"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Mike Trout","LAA","134","600","45","110","104","11","18.3%","20.0%",".353",".298",".291",".438",".645",".436",".454","177","7.1","65.9","-2.1","8.3","10155"
"Alex Bregman","HOU","156","690","41","122","112","5","17.2%","12.0%",".296",".281",".296",".423",".592",".418","","167","-2.1","57.3","1.7","8.1","17678"
"Cody Bellinger","LAD","156","660","47","121","115","15","14.4%","16.4%",".324",".302",".305",".406",".629",".415",".425","161","1.4","54.2","4.0","7.7","15998"
"Christian Yelich","MIL","130","580","44","100","97","30","13.8%","20.3%",".342",".355",".329",".429",".671",".442",".424","174","8.5","65.2","-9.0","7.3","11477"
"Anthony Rendon","WSN","146","646","34","117","126","5","12.4%","13.3%",".279",".323",".319",".412",".598",".413",".412","155","0.4","47.1","2.7","6.8","12861"
"Rafael Devers","BOS","156","702","32","129","115","8","6.8%","17.0%",".244",".339",".311",".361",".555",".377",".359","132","2.3","31.3","11.9","6.7","17350"
"Marcus Semien","OAK","162","747","33","123","92","10","11.6%","13.7%",".237",".294",".285",".369",".522",".373","","138","1.7","37.7","3.2","6.6","12533"
"Nolan Arenado","COL","155","662","41","102","118","3","9.4%","14.0%",".269",".312",".315",".379",".583",".392","","130","2.5","28.3","17.3","6.5","9777"
"Mookie Betts","BOS","150","706","29","135","80","16","13.7%","14.3%",".229",".309",".295",".391",".524",".380",".407","135","5.6","36.8","3.3","6.4","13611"
"George Springer","HOU","122","556","39","96","96","6","12.1%","20.3%",".299",".305",".292",".383",".591",".400","","155","0.9","40.1","4.9","6.3","12856"
"Trevor Story","COL","145","656","35","111","85","23","8.8%","26.5%",".260",".361",".294",".363",".554",".380","","122","5.9","25.0","19.1","6.3","12564"
"Ketel Marte","ARI","144","628","32","97","92","10","8.4%","13.7%",".264",".342",".329",".389",".592",".405",".373","149","4.2","45.0","-1.4","6.2","13613"
"Xander Bogaerts","BOS","155","698","33","110","117","4","10.9%","17.5%",".246",".338",".309",".384",".555",".390","","141","1.0","37.5","-1.9","5.9","12161"
"Francisco Lindor","CLE","143","654","32","101","74","22","7.0%","15.0%",".234",".291",".284",".335",".518",".349",".328","118","-2.0","13.0","23.8","5.9","12916"
"DJ LeMahieu","NYY","145","655","26","109","102","5","7.0%","13.7%",".191",".349",".327",".375",".518",".375",".368","136","-0.8","29.4","7.2","5.9","9874"
"Javier Baez","CHC","138","561","29","89","85","11","5.0%","27.8%",".250",".345",".281",".316",".531",".347","","112","1.2","10.4","31.8","5.8","12979"
"Matt Chapman","OAK","156","670","36","102","91","1","10.9%","21.9%",".257",".270",".249",".342",".506",".354",".352","125","0.9","22.6","11.8","5.7","16505"
"J.T. Realmuto","PHI","145","593","25","92","83","9","6.9%","20.7%",".217",".309",".275",".328",".493",".340",".338","107","5.4","11.1","27.5","5.6","11739"
"Juan Soto","WSN","150","659","34","110","110","12","16.4%","20.0%",".266",".312",".282",".401",".548",".394",".407","143","-0.5","36.5","0.0","5.6","20123"
"Yoan Moncada","CHW","132","559","25","83","79","10","7.2%","27.5%",".233",".406",".315",".367",".548",".379","","139","3.5","31.5","4.8","5.5","17232"
"Ronald Acuna Jr.","ATL","156","715","41","127","101","37","10.6%","26.3%",".238",".337",".280",".365",".518",".369",".388","125","8.1","32.1","1.6","5.5","18401"
"Yasmani Grandal","MIL","153","632","28","79","77","5","17.2%","22.0%",".222",".279",".246",".380",".468",".361","","121","-5.1","12.5","21.6","5.3","11368"
"Josh Donaldson","ATL","155","659","37","96","94","4","15.2%","23.5%",".262",".292",".259",".379",".521",".377",".383","131","-3.0","24.0","8.2","5.2","5038"
"Jeff McNeil","NYM","133","567","23","83","75","5","6.2%","13.2%",".214",".337",".318",".384",".531",".384","","144","-2.9","30.1","1.7","4.8","15362"
"Max Muncy","LAD","141","589","35","101","98","4","15.3%","25.3%",".265",".283",".251",".374",".515",".372",".377","133","4.8","30.3","0.5","4.8","13301"
"Carlos Santana","CLE","158","686","34","110","93","4","15.7%","15.7%",".234",".293",".281",".397",".515",".380","","138","1.5","35.2","-11.0","4.8","2396"
"Kris Bryant","CHC","147","634","31","108","77","4","11.7%","22.9%",".239",".331",".282",".382",".521",".379","","134","3.8","31.9","-3.9","4.7","15429"
"Tim Anderson","CHW","123","518","18","81","56","17","2.9%","21.0%",".173",".399",".335",".357",".508",".363","","128","1.7","20.4","7.4","4.5","15172"
"Aaron Judge","NYY","102","447","27","75","55","3","14.3%","31.5%",".267",".360",".272",".381",".540",".382",".392","141","0.4","23.8","5.9","4.5","15640"
"Pete Alonso","NYM","161","693","53","103","120","1","10.4%","26.4%",".323",".280",".260",".358",".583",".384","","144","-2.2","37.9","-14.3","4.4","19251"
"Austin Meadows","TBR","138","591","33","83","89","12","9.1%","22.2%",".268",".331",".291",".364",".558",".380",".373","144","-1.0","32.2","-8.1","4.4","15672"
"Freddie Freeman","ATL","158","692","38","113","121","6","12.6%","18.4%",".255",".318",".295",".389",".549",".387",".395","137","-0.1","34.0","-10.8","4.4","5361"
"Michael Conforto","NYM","151","648","33","90","92","7","13.0%","23.0%",".237",".290",".257",".363",".494",".358",".368","127","1.4","24.4","-0.2","4.4","16376"
"Nelson Cruz","MIN","120","521","41","81","108","0","10.7%","25.1%",".328",".351",".311",".392",".639",".417",".412","164","-4.5","38.1","-12.3","4.3","2434"
"Jose Altuve","HOU","124","548","31","89","74","6","7.5%","15.0%",".252",".303",".298",".353",".550",".374","","137","-5.0","21.1","3.4","4.3","5417"
"Eugenio Suarez","CIN","159","662","49","87","103","3","10.6%","28.5%",".301",".312",".271",".358",".572",".381","","130","-6.2","20.4","2.2","4.2","12552"
"Trea Turner","WSN","122","569","19","96","57","35","7.6%","19.9%",".200",".348",".298",".353",".497",".356","","118","6.5","19.7","5.1","4.2","16252"
"Ozzie Albies","ATL","160","702","24","102","86","15","7.7%","16.0%",".205",".325",".295",".352",".500",".354",".346","116","4.8","19.2","1.1","4.2","16556"
"Bryce Harper","PHI","157","682","35","98","114","15","14.5%","26.1%",".250",".313",".260",".372",".510",".365",".383","124","-0.6","21.2","-1.2","4.1","11579"
"Matt Olson","OAK","127","547","36","73","91","0","9.3%","25.2%",".277",".300",".267",".351",".545",".368",".382","135","-0.5","23.7","-1.7","4.1","14344"
"Justin Turner","LAD","135","549","27","80","67","2","9.3%","16.0%",".219",".304",".290",".372",".509",".370",".371","131","-1.1","21.4","2.8","4.1","5235"
"Mark Canha","OAK","126","497","26","80","58","3","13.5%","21.5%",".244",".308",".273",".396",".517",".386","","146","-1.2","28.3","-5.4","4.0","11445"
"Jonathan Villar","BAL","162","714","24","111","73","40","8.5%","24.6%",".179",".341",".274",".339",".453",".335","","107","10.5","16.8","-2.0","3.9","10071"
"Ramon Laureano","OAK","123","481","24","79","67","13","5.6%","25.6%",".233",".342",".288",".340",".521",".356","","127","4.9","21.3","1.8","3.9","17128"
"Mitch Garver","MIN","93","359","31","70","67","0","11.4%","24.2%",".357",".277",".273",".365",".630",".404","","155","-1.1","24.3","3.1","3.9","15161"
"Tommy Edman","STL","92","349","11","59","36","15","4.6%","17.5%",".196",".346",".304",".350",".500",".357",".327","124","6.6","17.5","11.7","3.9","19470"
"Yuli Gurriel","HOU","144","612","31","85","104","5","6.0%","10.6%",".243",".289",".298",".343",".541",".364","","131","-2.6","21.4","-3.6","3.9","19198"
"Max Kepler","MIN","134","596","36","98","90","1","10.1%","16.6%",".267",".244",".252",".336",".519",".355",".339","122","-1.8","14.9","2.9","3.8","12144"
"Jorge Soler","KCR","162","679","48","95","117","3","10.8%","26.2%",".304",".294",".265",".354",".569",".378",".391","136","-0.7","30.4","-15.7","3.8","14221"
"Michael Brantley","HOU","148","637","22","88","90","3","8.0%","10.4%",".191",".320",".311",".372",".503",".367",".348","132","0.0","26.3","-10.3","3.8","4106"
"Anthony Rizzo","CHC","146","613","27","89","94","5","11.6%","14.0%",".227",".306",".293",".405",".520",".390",".383","140","-5.4","27.2","-7.8","3.8","3473"
"Carlos Correa","HOU","75","321","21","42","59","1","10.9%","23.4%",".289",".303",".279",".358",".568",".380",".376","142","0.5","17.6","9.7","3.8","14162"
"Paul DeJong","STL","159","664","30","97","78","9","9.3%","22.4%",".211",".259",".233",".318",".444",".322",".324","101","2.3","3.0","13.8","3.7","18015"
"Corey Seager","LAD","134","541","19","82","87","1","8.1%","18.1%",".211",".303",".272",".335",".483",".340","","112","3.4","11.7","8.3","3.6","13624"
"Yordan Alvarez","HOU","87","369","27","58","78","0","14.1%","25.5%",".342",".366",".313",".412",".655",".432",".405","176","-1.8","34.3","-10.4","3.6","19556"
"Starling Marte","PIT","132","586","23","97","82","25","4.3%","16.0%",".208",".319",".295",".342",".503",".353",".350","118","3.4","17.3","1.1","3.6","9241"
"J.D. Martinez","BOS","146","657","36","98","105","2","11.0%","21.0%",".252",".342",".304",".383",".557",".386",".389","139","-4.6","27.8","-14.5","3.6","6184"
"Gleyber Torres","NYY","144","604","38","96","90","5","7.9%","21.4%",".256",".296",".278",".337",".535",".358","","125","-0.5","18.8","-4.0","3.6","16997"
"Kolten Wong","STL","148","549","11","61","59","24","8.6%","15.1%",".138",".321",".285",".361",".423",".334","","109","7.1","13.6","5.5","3.6","12532"
"Victor Robles","WSN","155","617","17","86","65","28","5.7%","22.7%",".165",".310",".255",".326",".419",".317","","92","4.2","-2.4","19.0","3.5","18363"
"Christian Vazquez","BOS","138","521","23","66","72","4","6.3%","19.4%",".201",".305",".276",".320",".477",".331","","102","-4.2","-3.2","20.6","3.5","9774"
"Jose Ramirez","CLE","129","542","23","68","83","24","9.6%","13.7%",".224",".256",".255",".327",".479",".334",".339","108","6.7","12.2","4.3","3.5","13510"
"Paul Goldschmidt","STL","161","682","34","97","97","3","11.4%","24.3%",".216",".303",".260",".346",".476",".346","","117","3.2","18.1","-4.4","3.4","9218"
"Bryan Reynolds","PIT","134","546","16","83","68","3","8.4%","22.2%",".189",".387",".314",".377",".503",".371",".353","130","0.7","22.3","-4.7","3.4","19326"
"Trey Mancini","BAL","154","679","35","106","97","1","9.3%","21.1%",".244",".326",".291",".364",".535",".373","","132","-2.1","25.9","-15.7","3.4","15149"
"Brett Gardner","NYY","141","550","28","86","74","10","9.5%","19.6%",".253",".265",".251",".325",".503",".344","","115","4.6","15.4","-1.0","3.3","9927"
"Willy Adames","TBR","152","584","20","69","52","4","7.9%","26.2%",".164",".320",".254",".317",".418",".313","","99","2.2","1.2","11.7","3.3","15986"
"Jorge Polanco","MIN","153","704","22","107","79","4","8.5%","16.5%",".190",".328",".295",".356",".485",".352","","120","3.1","21.2","-13.0","3.3","13152"
"Nick Ahmed","ARI","158","625","19","79","82","8","8.3%","18.1%",".183",".280",".254",".316",".437",".315",".320","90","2.2","-5.8","19.2","3.2","12147"
"Tom Murphy","SEA","76","281","18","32","40","2","6.8%","31.0%",".262",".340",".273",".324",".535",".355","","126","1.3","10.7","12.5","3.2","13499"
"Roberto Perez","CLE","119","449","24","46","63","0","10.0%","28.3%",".213",".285",".239",".321",".452",".326","","102","-4.1","-3.1","20.0","3.2","2900"
"Joey Gallo","TEX","70","297","22","54","49","4","17.5%","38.4%",".344",".368",".253",".389",".598",".401","","144","2.6","19.3","2.9","3.2","14128"
"Christian Walker","ARI","152","603","29","86","73","8","11.1%","25.7%",".217",".312",".259",".348",".476",".346",".363","110","2.6","11.0","2.4","3.2","13419"
"Whit Merrifield","KCR","162","735","16","105","74","20","6.1%","17.1%",".160",".350",".302",".348",".463",".340","","110","1.5","10.9","-5.1","3.1","11281"
"David Fletcher","LAA","154","653","6","83","49","8","8.4%","9.8%",".094",".317",".290",".350",".384",".318",".312","96","-0.8","-3.9","12.1","3.1","17992"
"Tommy Pham","TBR","145","654","21","77","68","25","12.4%","18.8%",".176",".316",".273",".369",".450",".349",".355","123","0.6","19.9","-12.0","3.1","2967"
"Fernando Tatis Jr.","SDP","84","372","22","61","53","16","8.1%","29.6%",".272",".410",".317",".379",".590",".398","","151","3.0","27.9","-8.3","3.1","19709"
"Eric Sogard","- - -","110","442","13","59","40","8","8.6%","14.3%",".167",".316",".290",".353",".457",".342","","115","4.3","12.8","2.5","3.0","7927"
"Byron Buxton","MIN","87","295","10","48","46","14","6.4%","23.1%",".251",".314",".262",".314",".513",".340","","112","3.3","7.8","12.4","3.0","14161"
"Josh Bell","PIT","143","613","37","94","116","0","12.1%","19.2%",".292",".288",".277",".367",".569",".378",".381","135","-5.0","23.2","-12.9","2.9","13145"
"Eduardo Escobar","ARI","158","699","35","94","118","5","7.2%","18.6%",".242",".283",".269",".320",".511",".341","","108","2.9","9.9","-2.7","2.9","6153"
"Joc Pederson","LAD","149","514","36","83","74","1","9.7%","21.6%",".289",".249",".249",".339",".538",".362",".342","126","0.1","17.6","-4.5","2.9","11899"
"Miguel Sano","MIN","105","439","34","76","79","0","12.5%","36.2%",".329",".319",".247",".346",".576",".378",".367","138","-1.4","19.7","-6.4","2.8","12164"
"Gio Urshela","NYY","132","476","21","73","74","1","5.3%","18.3%",".219",".349",".314",".355",".534",".369","","132","-3.1","16.5","-5.0","2.8","10681"
"Mike Moustakas","MIL","143","584","35","80","87","3","9.1%","16.8%",".262",".250",".254",".329",".516",".348",".347","113","-2.2","7.8","2.2","2.8","4892"
"Hunter Dozier","KCR","139","586","26","75","84","2","9.4%","25.3%",".243",".339",".279",".348",".522",".360","","123","-2.1","15.4","-8.0","2.8","15117"
"Mike Tauchman","NYY","87","296","13","46","47","6","11.5%","24.0%",".227",".333",".277",".361",".504",".364","","128","1.2","12.0","5.8","2.8","15274"
"Niko Goodrum","DET","112","472","12","61","45","12","9.7%","29.2%",".173",".338",".248",".322",".421",".315","","95","6.9","3.9","7.2","2.7","12092"
"Adam Frazier","PIT","152","608","10","80","50","5","6.6%","12.3%",".139",".306",".278",".336",".417",".320",".312","97","0.7","-2.0","10.5","2.7","15223"
"Howie Kendrick","WSN","121","370","17","61","62","2","7.3%","13.2%",".228",".359",".344",".395",".572",".400",".418","147","-1.9","20.9","-4.9","2.7","4229"
"Brian Anderson","MIA","126","520","20","57","66","5","8.5%","21.9%",".207",".305",".261",".342",".468",".342","","114","-0.3","9.6","1.3","2.7","18289"
"Willson Contreras","CHC","105","409","24","57","64","1","9.3%","24.9%",".261",".314",".272",".355",".533",".368","","126","0.2","14.3","-0.1","2.6","11609"
"Cavan Biggio","TOR","100","430","16","66","48","14","16.5%","28.6%",".195",".309",".234",".364",".429",".343","","114","4.9","12.6","-1.2","2.6","19252"
"Mike Yastrzemski","SFG","107","411","21","64","55","2","7.8%","26.0%",".245",".325",".272",".334",".518",".353","","120","1.6","12.5","1.0","2.6","14854"
"Eric Thames","MIL","149","459","25","67","61","3","11.1%","30.5%",".258",".313",".247",".346",".505",".354","","116","2.6","12.6","-0.9","2.6","3711"
"Jordan Luplow","CLE","85","261","15","42","38","3","12.6%","23.4%",".276",".313",".276",".372",".551",".383","","141","1.3","14.9","1.9","2.6","16424"
"Nick Castellanos","- - -","151","664","27","100","73","2","6.2%","21.5%",".236",".337",".289",".337",".525",".357",".359","122","-0.5","18.3","-15.2","2.5","11737"
"Edwin Encarnacion","- - -","109","486","34","81","86","0","11.9%","21.2%",".287",".239",".244",".344",".531",".362",".363","130","1.0","19.6","-11.1","2.5","2151"
"J.D. Davis","NYM","140","453","22","65","57","3","8.4%","21.4%",".220",".355",".307",".369",".527",".373",".381","137","-2.8","19.3","-7.8","2.5","16219"
"Kyle Seager","SEA","106","443","23","55","63","2","9.9%","19.4%",".229",".248",".239",".321",".468",".332",".347","111","0.5","6.5","3.3","2.5","9785"
"Adam Eaton","WSN","151","656","15","103","49","15","9.9%","16.2%",".148",".319",".279",".365",".428",".342","","108","3.5","10.6","-5.7","2.5","11205"
"Adalberto Mondesi","KCR","102","443","9","58","62","43","4.3%","29.8%",".161",".357",".263",".291",".424",".298","","81","6.7","-3.9","13.5","2.5","13769"
"Kevin Kiermaier","TBR","129","480","14","60","55","19","5.4%","21.7%",".170",".267",".228",".278",".398",".284",".292","79","3.5","-9.3","17.2","2.5","11038"
"Keston Hiura","MIL","84","348","19","51","49","9","7.2%","30.7%",".268",".402",".303",".368",".570",".388","","139","-0.1","17.8","-3.9","2.4","20003"
"Danny Santana","TEX","130","511","28","81","81","21","4.9%","29.5%",".251",".353",".283",".324",".534",".352",".342","111","4.6","11.6","-5.2","2.4","10322"
"Gary Sanchez","NYY","106","446","34","62","77","0","9.0%","28.0%",".293",".244",".232",".316",".525",".346",".366","116","-1.1","8.3","-0.1","2.4","11442"
