Dimensions.Crest Elevation,Dimensions.Crest Length,Dimensions.Structural Height,Identity.Name,Identity.Watercourse,Location.County,Location.Latitude,Location.Longitude,Location.State,Identity.Project.Organization,Identity.Project.Year
1520,3800,86,Agate Dam,Dry Creek,Jackson,42.4155,-122.7723,Oregon,Rogue River Basin,1965
3348,1850,110,Agency Valley Dam,North Fork of the Malheur River,Malheur,43.9117446,-118.154354,Oregon,Vale,1934
5510,76300,265,Alcova Dam,North Platte River,Natrona,42.5483,-106.7194,Wyoming,Kendrick,1935
2172.5,2784.18,132.17,Almena Diversion Dam,Prairie Dog  Creek,Norton,39.76667,-100.10041,Kansas,PSMBP - Almena,1967
1564,1104,110,Altus Dam,"North Fork, Red River",Greer/Kiowa,34.8833,-99.3,Oklahoma,W. C. Austin,1941
3684,2784.18,18,American Diversion Dam,Rio Grande,"Dona Ana, NM; El Paso, Tx",36.27807902,-97.50189279,New Mexico,Rio Grande,1938
4366.5,5277,104,American Falls Dam,Snake River,Power,42.7787,-112.8748,Idaho,Minidoka,1925
6452.5,660,208,Anchor Dam,"South Fork, Owl Creek",Hot Springs,43.6833,-108.8167,Wyoming,Owl Creek,1957
4206,1350,456,Anderson Ranch Dam,South Fork of the Boise River,Elmore,43.3595096,-115.4501724,Idaho,Boise,1941
4064,324,23,Anderson-Rose Diversion Dam,Lost River,Klamath,42.0098746,-121.5811049,Oregon,Klamath,1921
3199,2030,193,Angostura Dam,Cheyenne River,Fall River,43.3431,-103.4378,South Dakota,PSMBP - Angostura,1946
5083,800,17,Angostura Diversion Dam,Unknown,Sandoval,36.27807902,-97.50189279,New Mexico,Middle Rio Grande,1934
3010,1050,42,Anita Dam,Yellowstone River (offstream),Yellowstone,45.93343115,-108.0007553,Montana,Huntley,1933
920,1890,150,Arbuckle Dam,Rock creek,Murray,34.431389,-97.027778,Oklahoma,Arbuckle,1964
3216,1150,350,Arrowrock Dam,Boise River,Boise/Elmore,43.5952,-115.923,Idaho,Boise,1911
3270,800,240,Arthur R Bowman Dam,Crooked River,Crook,44.11125,-120.78738,Oregon,Crooked River,1958
4235,76665,36,Arthur V Watkins Dam,offstream Storage,Weber,41.40552708,-112.0909309,Utah,Weber Basin,1957
3194,1025,60,Avalon Dam,Pecos River,Eddy,32.4908,-104.2553,New Mexico,Carlsbad,1907
554,18600,382,B F Sisk Dam,San Luis Creek,Merced,37.0583,-121.075,California,Central Valley,1963
5255,1720,11,Barretts Diversion Dam,Beaverhead River,Beaverhead,45.1302,-112.7403,Montana,"East Bench Unit, Pick-Sloan Missouri Basin Program",1963
1821,823,308.5,Bartlett Dam,Verde River,Maricopa,33.81825,-111.631856,Arizona,Salt River,1936
4141.1,2784.18,27,Bartley Diversion Dam,Republican River,Unknown,40.22509,-100.38695,Nebraska,PSMBP - Frenchman,1954
4141.1,2784.18,132.17,Belle Fourche Dam,Belle Fourch River,Butte,44.7367,-103.67,South Dakota,Belle Fourche,0
2998,2523,36,Belle Fourche Diversion Dam,Belle Fourch River,Butte,44.69057,-103.83068,South Dakota,Belle Fourche,1907
6769,2350,85,Big Sandy Dam,Big Sandy Creek,Sweetwater,42.24923291,-109.4286346,Wyoming,Eden,1941
2500,2784.18,183,Black Canyon Diversion Dam,Payette River,Gem,43.9314,-116.43756,Idaho,Boise,1922
7528,785,502,Blue Mesa Dam,Gunnison,Gunnison,38.4533,-107.3333,Colorado,Colorado River Storage,1962
5615,1629,93,Boca Dam,Little Truckee River,Nevada,36.27807902,-97.50189279,California,Truckee Storage,1937
2829.84,500,68,Boise River Diversion Dam,Boise River,Ada,43.5383,-116.0933,Idaho,Boise,1906
3742,9200,158,Bonny Dam,SF Republican R.,Yuma,39.6233,-102.1733,Colorado,PSMBP - Armel Unit,1948
4024,5508,87,Box Butte Dam,Niobrara River,Daws,42.4583,-103.0847,Nebraska,Mirage Flats,1941
4758,1143,220,Boysen Dam,Wind River,Fremont,43.2456,-108.104,Wyoming,"Boysen Unit, Pick-Sloan Missouri River Basin Program",1947
766,2784.18,279,Bradbury Dam,Santa Ynex River,Santa Barbara,34.5833,-119.9833,California,Cachuma,1950
3308.5,20850,158.5,Brantley Dam,Pecos River,Eddy,32.59686621,-104.3495178,New Mexico,Brantley,1984
4141.1,2784.18,132.17,Bretch Diversion Dam,Elk Creek,Kiowa,34.93663,-99.1097,Oklahoma,Mountain Park,1975
8198,28,8,Broadhead Diversion Dam,Boadhead Creek,Summit,36.27807902,-97.50189279,Utah,Provo River,1953
2815,700,90,Buckhorn Dam,Grass Valley Creek,Trinity,36.27807902,-97.50189279,California,Central Valley,1988
5395,200,350,Buffalo Bill Dam,Shoshone River,Park,44.3002,-109.11,Wyoming,Shoshone,1905
5813,3456,68,Bull Lake Dam,Bull Lake Creek,Fremont,43.2097,-109.0583,Wyoming,PSMBP - Riverton Unit,1936
2529,3070,121,Bully Creek Dam,Bully Creek,Malheur,44.0147313,-117.396898,Oregon,Vale,1962
3435,3425,61,Bumping Lake Dam,Bumping River,Yakima,46.8712,-121.29936,Washington,Yakima,1909
6720,492,187,C.C. Cragin,East Clear Creek,Coconino,34.5550265,-111.1840252,Arizona,Salt River,1964
4190,4590,96,Caballo Dam,Rio Grande,Sierra,32.8964,-107.2917,New Mexico,Rio Grande,1936
4141.1,2784.18,132.17,Cambridge Diversion Dam,Republican River,Unknown,40.28511,-100.12054,Nebraska,PSMBP - Frenchman,1949
3558,119,20,Camp Creek Diversion Dam,Camp Creek,El Dorado,36.27807902,-97.50189279,California,CVP - Sly Park,1953
1445,872,79,Camp Dyer Diversion Dam,Agua Fria River,Maricopa,33.8378,-112.2705,Arizona,Central Arizona,1926
3808.5,1000,225,Canyon Ferry Dam,Missouri River,Lewis and Clark,46.64797102,-111.7278671,Montana,"Canyon Ferry Unit, Pick-Sloan Missouri Basin Program",1949
385.25,2784.18,31,Carpinteria Dam,offstream Storage,Santa Brbara,34.4067,-119.485,California,Cachuma,1951
4024,241,23,Carson River Diversion Dam,Carson River,Churchill,36.27807902,-97.50189279,Nevada,Newlands,1905
10133.75,46,8.75,Carter Creek Diversion Dam,Carter Creek,Eagle,39.21593,-106.32372,Colorado,Fryingpan-Arkansas,1976
5769,1235,214,Carter Lake Dam,offstream Storage,Grand,40.325,-105.2117,Colorado,Colorado-Big Thompson,1950
4840,785,107,Cascade Dam,North Fork Payette River,Valley,44.524997,-116.050279,Idaho,Boise,1946
585,2000,334,Casitas Dam,Coyote Creek,Ventura,34.37,-119.3361,California,Ventura River,1956
5704,845,217.5,Causey Dam,SF Ogden River,Weber,41.29018996,-111.5829849,Utah,Weber Basin,1962
2198,12560,202,Cedar Bluff Dam,Smoky Hill River,Trego,38.7917,-99.725,Kansas,PSMBP-Cedar Bluff,1949
10045,131,15,Chapman Diversion Dam,Chapman Gulch,Pitkin,39.3163756,-106.640589,Colorado,Fryingpan-Arkansas,1965
1454,24458,126.2,Cheney Dam,NF of Ninnescah R.,"Reno, Kingman, Sedgwick",37.7306,-97.793,Kansas,Wichita,1962
241.14,18471,141.96,Choke Canyon Dam,Frio River,Live Oak,28.3125,-98.2458,Texas,Nueces River,1981
5578,2950,147.5,Clark Canyon Dam,Beaverhead River,Beaverhead,45.00041541,-112.8583431,Montana,"East Bench Unit, Pick-Sloan Missouri Basin Program",1961
2250,1800,165,Cle Elum Dam,Cle Elum River,Kittitas,47.2469,-121.073112,Washington,Yakima,1931
