State,TOTAL_VOTES,DEM,DEM_PER,DEM_EV,GOP,GOP_PER,GOP_EV
Alabama,2123372,729547,34.40%,,1318255,62.10%,9
Alaska,318608,116454,36.60%,,163387,51.30%,3
Arizona,2573165,1161167,45.10%,,1252401,48.70%,11
Arkansas,1130635,380494,33.70%,,684872,60.60%,6
California,14181595,8753788,61.70%,55,4483810,31.60%,
Colorado,2780220,1338870,48.20%,9,1202484,43.30%,
Connecticut,1644920,897572,54.60%,7,673215,40.90%,
Delaware,441590,235603,53.40%,3,185127,41.90%,
Dist. of Col.,311268,282830,90.90%,3,12723,4.10%,
Florida,9420039,4504975,47.80%,,4617886,49.00%,29
Georgia,4092373,1877963,45.90%,,2089104,51.00%,16
Hawaii,428937,266891,62.20%,4,128847,30.00%,
Idaho,690255,189765,27.50%,,409055,59.30%,4
Illinois,5536424,3090729,55.80%,20,2146015,38.80%,
Indiana,2734958,1033126,37.80%,,1557286,56.90%,11
Iowa,1566031,653669,41.70%,,800983,51.10%,6
Kansas,1184402,427005,36.10%,,671018,56.70%,6
Kentucky,1924149,628854,32.70%,,1202971,62.50%,8
Louisiana,2029032,780154,38.40%,,1178638,58.10%,8
Maine,747927,357735,47.80%,3,335593,44.90%,1
Maryland,2781446,1677928,60.30%,10,943169,33.90%,
Massachusetts,3325046,1995196,60.00%,11,1090893,32.80%,
Michigan,4799284,2268839,47.30%,,2279543,47.50%,16
Minnesota,2944813,1367716,46.40%,10,1322951,44.90%,
Mississippi,1209357,485131,40.10%,,700714,57.90%,6
Missouri,2808605,1071068,38.10%,,1594511,56.80%,10
Montana,494526,177709,35.90%,,279240,56.50%,3
Nebraska,844227,284494,33.70%,,495961,58.70%,2
Nevada,1125385,539260,47.90%,6,512058,45.50%,
New Hampshire,744296,348526,46.80%,4,345790,46.50%,
New Jersey,3874046,2148278,55.50%,14,1601933,41.40%,
New Mexico,798318,385234,48.30%,5,319666,40.00%,
New York,7622328,4491191,58.90%,29,2790073,36.60%,
North Carolina,4741558,2189313,46.20%,,2362628,49.80%,15
North Dakota,344360,93758,27.20%,,216794,63.00%,3
Ohio,5496487,2394164,43.60%,,2841005,51.70%,18
Oklahoma,1452992,420375,28.90%,,949136,65.30%,7
Oregon,2001336,1002106,50.10%,7,782403,39.10%,
Pennsylvania,6115402,2926441,47.90%,,2970733,48.60%,20
Rhode Island,464144,252525,54.40%,4,180543,38.90%,
South Carolina,2103027,855373,40.70%,,1155389,54.90%,9
South Dakota,370047,117442,31.70%,,227701,61.50%,3
Tennessee,2508027,870695,34.70%,,1522925,60.70%,11
Texas,8969226,3877868,43.20%,,4685047,52.20%,38
Utah,1131430,310676,27.50%,,515231,45.50%,6
Vermont,315067,178573,56.70%,3,95369,30.30%,
Virginia,3982752,1981473,49.80%,13,1769443,44.40%,
Washington,3209214,1742718,54.30%,12,1221747,38.10%,
West Virginia,713051,188794,26.50%,,489371,68.60%,5
Wisconsin,2976150,1382536,46.50%,,1405284,47.20%,10
Wyoming,255849,55973,21.90%,,174419,68.20%,3
