"","birthrt","deathrt","infmort","lexpm","lexpf","gnp","region","country"
"82",48.3,25,130,38.1,41.2,200,6,"Malawi"
"87",48.2,23.4,154,39.4,42.6,240,6,"Sierra_Leone"
"43",40.4,18.7,181.6,41,42,168,5,"Afghanistan"
"78",47.4,21.4,143,41.4,44.6,260,6,"Gambia"
"76",48.6,20.7,137,42.4,45.6,120,6,"Ethiopia"
"72",47.2,20.2,137,42.9,46.1,610,6,"Angola"
"91",46.8,12.5,118,42.9,49.5,810,6,"Swaziland"
"88",50.1,20.2,132,43.4,46.6,120,6,"Somalia"
"84",45,18.5,141,44.9,48.1,80,6,"Mozambique"
"90",44.6,15.8,108,48.6,51,480,6,"Sudan"
"86",48.5,15.6,105,48.8,52.2,360,6,"Nigeria"
"77",39.4,16.8,103,49.9,53.2,390,6,"Gabon"
"93",52.2,15.6,103,49.9,52.7,220,6,"Uganda"
"74",46.1,14.6,73,50.1,55.3,1010,6,"Congo"
"95",45.6,14.2,83,50.3,53.7,220,6,"Zaire"
"96",51.1,13.7,80,50.4,52.5,420,6,"Zambia"
"64",39.6,14.8,128,50.9,48.1,170,5,"Nepal"
"13",46.6,18,111,51,55.4,630,2,"Bolivia"
"94",50.5,14,106,51.3,54.7,110,6,"Tanzania"
"79",44.4,13.1,90,52.2,55.8,390,6,"Ghana"
"73",48.5,11.6,67,52.3,59.7,2040,6,"Botswana"
"59",30.5,10.2,91,52.5,52.1,350,5,"India"
"85",44,12.1,135,55,57.5,1030,6,"Namibia"
"45",42.5,11.5,108.1,55.8,55,2490,4,"Iran"
"80",47,11.3,72,56.5,60.5,370,6,"Kenya"
"97",41.7,10.3,66,56.5,60.1,640,6,"Zimbabwe"
"20",32.9,8.3,109.9,56.8,66.5,1160,2,"Peru"
"55",42.2,15.5,119,56.9,56,210,5,"Bangladesh"
"89",32.1,9.9,72,57.5,63.5,2530,6,"South_Africa"
"75",38.8,9.5,49.4,57.8,60.3,600,6,"Egypt"
"60",28.6,9.4,75,58.5,62,570,5,"Indonesia"
"65",30.3,8.1,107.7,59,59.2,380,5,"Pakistan"
"81",44,9.4,82,59.1,62.56,5310,6,"Libya"
