var1	product	var2	var3	var4	var5	var6	var7
4.29	a	1.90	0.03	0.72	18.03	67934230.98	4.31
17.51	a	8.05	0.43	0.48	15.65	6241643.14	4.01
50.73	a	14.41	0.50	0.26	17.10	26703554.21	4.19
79.83	a	22.63	0.65	0.22	18.08	70851392.81	4.30
216.16	a	29.81	0.70	0.20	17.82	54856206.27	4.31
488.14	a	36.43	0.82	0.14	14.96	3141596.78	3.88
2961.86	a	53.02	0.90	0.14	17.49	39344203.62	4.29
3158.95	a	66.16	0.94	0.12	18.57	115713381.71	4.32
17245.22	a	90.20	0.98	0.10	18.29	87692432.38	4.38
41812.38	a	112.75	1.00	0.09	16.40	13256133.28	4.08
102103.70	a	140.17	1.07	0.09	17.14	27743096.28	4.22
194428.42	a	157.58	1.09	0.08	23.03	10066891213.39	4.90
952759.93	a	180.89	1.13	0.07	16.93	22533168.51	4.23
1837794.63	a	214.14	1.15	0.07	24.79	58167450394.10	5.07
6693830.10	a	238.04	1.20	0.06	23.51	16180626747.12	4.93
13633258.70	a	269.53	1.21	0.06	12.86	385250.88	3.69
43903302.93	a	322.83	1.24	0.06	18.14	75251214.01	4.29
99198650.13	a	353.11	1.26	0.06	16.21	10938766.17	4.13
277026570.23	a	386.07	1.28	0.05	25.22	89730787520.85	5.10
558782390.60	a	428.62	1.31	0.05	20.08	525079674.59	4.57
1338678416.79	a	456.55	1.34	0.05	26.51	325895932073.24	5.24
4454641171.41	a	528.21	1.36	0.05	16.38	12984579.58	4.05
11556987858.55	a	567.01	1.37	0.04	22.00	3583811592.17	4.72
41829333922.03	a	624.84	1.39	0.04	16.67	17386840.24	4.18
140726370929.02	a	659.29	1.40	0.04	20.49	789415403.17	4.61
469964976680.52	a	709.30	1.43	0.04	21.60	2394457154.83	4.74
744784896946.90	a	758.34	1.45	0.04	18.95	170557260.75	4.37
3325232720498.67	a	785.68	1.45	0.04	17.61	44263777.71	4.25
6866620665113.11	a	880.38	1.47	0.03	22.32	4946466505.62	4.76
18901816350184.40	a	959.73	1.48	0.03	14.68	2376423.24	3.93
50088076487071.20	a	975.41	1.50	0.03	19.34	249638280.56	4.48
80150149286703.30	a	1025.28	1.52	0.03	21.38	1932168562.04	4.69
401425912551532.00	a	1128.38	1.53	0.03	23.89	23689702912.61	4.94
1381808703647680.00	a	1197.75	1.54	0.03	22.05	3759559122.40	4.78
4005168109656110.00	a	1285.42	1.55	0.03	23.44	15126191228.85	4.87
5922936996867730.00	a	1348.90	1.56	0.03	20.45	761952222.50	4.54
23305561918798200.00	a	1383.53	1.58	0.03	19.56	311017667.49	4.49
37975625410018800.00	a	1475.00	1.59	0.03	25.85	167815525569.78	5.09
142409800507278000.00	a	1547.32	1.60	0.03	24.54	45254515857.78	5.02
330276117140978000.00	a	1663.12	1.60	0.02	18.25	83895143.78	4.31
1277609077951300000.00	a	1763.91	1.62	0.02	13.30	598782.78	3.77
2299448501288380000.00	a	1813.64	1.63	0.02	15.35	4633672.64	4.02
9738856801924280000.00	a	1928.31	1.64	0.02	19.65	341536342.07	4.52
24980369598485900000.00	a	2017.43	1.65	0.02	21.22	1648286339.62	4.62
66086832378126500000.00	a	2025.36	1.65	0.02	18.78	143307436.39	4.37
230969751428601000000.00	a	2189.01	1.67	0.02	19.96	466013036.05	4.55
421827735665854000000.00	a	2300.61	1.67	0.02	20.66	937063509.07	4.59
1445352922455880000000.00	a	2351.97	1.68	0.02	21.93	3340501661.57	4.74
4302520845823540000000.00	a	2488.44	1.69	0.02	21.14	1511549088.51	4.64
5492774886181610000000.00	a	2507.53	1.70	0.02	18.12	73989771.68	4.31
17831712181034000000000.00	b	2634.75	1.72	0.02	42.47	2779985029960850000.00	6.53
98673127977743500000000.00	b	2807.62	1.72	0.02	41.00	639809996258027000.00	6.45
142343074516208000000000.00	b	2883.77	1.73	0.02	37.31	15998615493894100.00	6.17
425215152270787000000000.00	b	2941.55	1.73	0.02	45.60	63449742352665000000.00	6.78
1120448796378680000000000.00	b	3043.75	1.75	0.02	39.21	107113734382097000.00	6.27
2204586916621940000000000.00	b	3193.93	1.75	0.02	42.11	1947832595816640000.00	6.55
10546123833399900000000000.00	b	3314.71	1.76	0.02	43.90	11634381475025100000.00	6.70
23979135279524400000000000.00	b	3404.36	1.77	0.02	44.11	14313265841609800000.00	6.69
111572772023423000000000000.00	b	3513.63	1.77	0.02	46.20	116081221392639000000.00	6.82
307371919445811000000000000.00	b	3672.44	1.78	0.02	34.92	1462105096251370.00	5.93
664778796321924000000000000.00	b	3801.67	1.79	0.02	37.39	17334056817605600.00	6.18
991145676254416000000000000.00	b	3957.34	1.80	0.02	44.74	26997334489424100000.00	6.72
3411993072981970000000000000.00	b	4004.34	1.80	0.02	42.35	2474162925408660000.00	6.56
11166315276571700000000000000.00	b	4195.98	1.81	0.02	42.09	1903803051912990000.00	6.56
34589427087426000000000000000.00	b	4290.99	1.81	0.02	38.87	76304136457836400.00	6.31
47398100361200800000000000000.00	b	4372.18	1.82	0.01	40.22	292907332422433000.00	6.38
307481364044742000000000000000.00	b	4524.20	1.83	0.01	42.67	3384318391895480000.00	6.58
906666358470841000000000000000.00	b	4658.63	1.84	0.01	45.58	62699262375053000000.00	6.80
1873721410165800000000000000000.00	b	4872.82	1.84	0.01	40.95	609981291673755000.00	6.46
3150373682805570000000000000000.00	b	4944.45	1.85	0.01	42.88	4212047311382310000.00	6.60
15800160974647000000000000000000.00	b	5099.64	1.85	0.01	38.95	82401626127663300.00	6.32
24208147114328500000000000000000.00	b	5234.50	1.86	0.01	37.24	14853885018329400.00	6.15
73244996075198600000000000000000.00	b	5423.59	1.87	0.01	40.86	553886425985296000.00	6.40
174974904047796000000000000000000.00	b	5532.64	1.87	0.01	32.55	136408037856879.00	5.79
631439295099235000000000000000000.00	b	5663.57	1.88	0.01	41.14	733111446442372000.00	6.42
1961145489688200000000000000000000.00	b	5789.53	1.88	0.01	41.15	742713674864927000.00	6.49
3073932793387590000000000000000000.00	b	6008.05	1.89	0.01	40.27	308954246436192000.00	6.39
14742190136018700000000000000000000.00	b	6094.40	1.89	0.01	42.45	2739090246397450000.00	6.55
42450965133261900000000000000000000.00	b	6360.91	1.90	0.01	40.70	474874902567316000.00	6.43
84823439751414300000000000000000000.00	b	6514.65	1.90	0.01	41.79	1410040491087480000.00	6.53
338723115452427000000000000000000000.00	b	6629.40	1.91	0.01	39.16	101443538479289000.00	6.27
665507303644905000000000000000000000.00	b	6752.79	1.92	0.01	35.53	2682313561689610.00	6.04
2154873692410570000000000000000000000.00	b	7050.60	1.92	0.01	37.80	26083787414437000.00	6.21
5974096549987440000000000000000000000.00	b	7148.01	1.93	0.01	43.07	5072091137695970000.00	6.57
12652124078830200000000000000000000000.00	b	7311.00	1.93	0.01	36.11	4798232860039770.00	6.07
28529185253201800000000000000000000000.00	b	7553.79	1.94	0.01	40.33	327602513573068000.00	6.39
71416611426341400000000000000000000000.00	b	7575.22	1.94	0.01	36.75	9138281695297010.00	6.10
174008574467978000000000000000000000000.00	b	7813.75	1.95	0.01	37.84	27271132421199100.00	6.16
965988715063848000000000000000000000000.00	b	7983.34	1.95	0.01	44.53	21874386452922500000.00	6.75
3027172442359030000000000000000000000000.00	b	8168.71	1.96	0.01	42.36	2485638615555060000.00	6.53
8686354562743450000000000000000000000000.00	b	8360.61	1.96	0.01	37.46	18528362876847600.00	6.13
10826933945924100000000000000000000000000.00	b	8518.09	1.97	0.01	46.00	95096476297387000000.00	6.85
28692838908339900000000000000000000000000.00	b	8792.73	1.97	0.01	43.69	9433660187205020000.00	6.66
158667185848281000000000000000000000000000.00	b	8944.67	1.98	0.01	40.91	585683912782042000.00	6.40
